RefSeq	Genbank	Taxid	Strain name	contigid
GCF_000007865.1	GCA_000007865.1_ASM786v1	1764	Mycobacterium avium subsp. paratuberculosis K-10	NC_002944.2
GCF_000014985.1	GCA_000014985.1_ASM1498v1	1764	Mycobacterium avium 104	NC_008595.1
GCF_000018345.1	GCA_000018345.1_ASM1834v1	1781	Mycobacterium marinum M	NC_010612.1
GCF_000015625.1	GCA_000015625.1_ASM1562v1	13373	Burkholderia mallei NCTC 10247	NC_009080.1
GCF_000011545.1	GCA_000011545.1_ASM1154v1	28450	Burkholderia pseudomallei K96243	NC_006350.1
GCF_000012785.1	GCA_000012785.1_ASM1278v1	28450	Burkholderia pseudomallei 1710b	NC_007434.1
GCF_000015905.1	GCA_000015905.1_ASM1590v1	28450	Burkholderia pseudomallei 668	NC_009074.1
GCF_000015925.1	GCA_000015925.1_ASM1592v1	28450	Burkholderia pseudomallei 1106a	NC_009076.1
GCF_000007545.1	GCA_000007545.1_ASM754v1	28901	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	NC_004631.1
GCF_000008105.1	GCA_000008105.1_ASM810v1	28901	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	NC_006905.1
GCF_000011885.1	GCA_000011885.1_ASM1188v1	28901	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	NC_006511.1
GCF_000018705.1	GCA_000018705.1_ASM1870v1	28901	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	NC_010102.1
GCF_000195995.1	GCA_000195995.1_ASM19599v1	28901	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NC_003198.1
GCF_000012205.1	GCA_000012205.1_ASM1220v1	29438	Pseudomonas savastanoi pv. phaseolicola 1448A	NC_005773.3
GCF_000092045.1	GCA_000092045.1_ASM9204v1	29449	Rhizobium etli CFN 42	NC_007761.1
GCF_000018905.1	GCA_000018905.1_ASM1890v1	29461	Brucella suis ATCC 23445	NC_010167.1
GCF_000016625.1	GCA_000016625.1_ASM1662v1	35791	Rickettsia massiliae MTU5	NC_009900.1
GCF_000012365.1	GCA_000012365.1_ASM1236v1	57975	Burkholderia thailandensis E264	NC_007651.1
GCF_000014685.1	GCA_000014685.1_ASM1468v1	60480	Shewanella sp. MR-4	NC_008321.1
GCF_000014665.1	GCA_000014665.1_ASM1466v1	60481	Shewanella sp. MR-7	NC_008322.1
GCF_000015845.1	GCA_000015845.1_ASM1584v1	62322	Shewanella baltica OS155	NC_009052.1
GCF_000017325.1	GCA_000017325.1_ASM1732v1	62322	Shewanella baltica OS185	NC_009665.1
GCF_000018765.1	GCA_000018765.1_ASM1876v1	62322	Shewanella baltica OS195	NC_009997.1
GCF_000018285.1	GCA_000018285.1_ASM1828v1	70864	Shewanella pealeana ATCC 700345	NC_009901.1
GCF_000018505.1	GCA_000018505.1_ASM1850v1	87883	Burkholderia multivorans ATCC 17616	NC_010084.1
GCF_000203935.1	GCA_000203935.1_ASM20393v1	94122	Shewanella sp. ANA-3	NC_008577.1
GCF_000014085.1	GCA_000014085.1_ASM1408v1	95486	Burkholderia cenocepacia AU 1054	NC_008060.1
GCF_000014085.1	GCA_000014085.1_ASM1408v1	95486	Burkholderia cenocepacia AU 1054	NC_008061.1
GCF_000019505.1	GCA_000019505.1_ASM1950v1	95486	Burkholderia cenocepacia MC0-3	NC_010515.1
GCF_000203955.1	GCA_000203955.1_ASM20395v1	95486	Burkholderia cenocepacia HI2424	NC_008543.1
GCF_000026145.1	GCA_000026145.1_ASM2614v1	114615	Bradyrhizobium sp. ORS 278	NC_009445.1
GCF_000019925.1	GCA_000019925.1_ASM1992v1	152480	Burkholderia ambifaria MC40-6	NC_010551.1
GCF_000203915.1	GCA_000203915.1_ASM20391v1	152480	Burkholderia ambifaria AMMD	NC_008390.1
GCF_000007805.1	GCA_000007805.1_ASM780v1	251701	Pseudomonas syringae pv. tomato str. DC3000	NC_004578.1
GCF_000019185.1	GCA_000019185.1_ASM1918v1	271098	Shewanella halifaxensis HAW-EB4	NC_010334.1
GCF_000015165.1	GCA_000015165.1_ASM1516v1	288000	Bradyrhizobium sp. BTAi1	NC_009485.1
GCF_000015185.1	GCA_000015185.1_ASM1518v1	351745	Shewanella sp. W3-18-1	NC_008750.1
GCF_000012945.1	GCA_000012945.1_ASM1294v1	482957	Burkholderia lata	NC_007510.1
GCF_000196095.1	GCA_000196095.1_ASM19609v1	670	Vibrio parahaemolyticus RIMD 2210633	NC_004603.1
