#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
BackhedF_2015__SID224_12M__bin.2	4217	3348	641	228	0	65	4309	3422	658	229	0	67	90.42	3277
BackhedF_2015__SID224_B__bin.3	4220	3536	583	101	0	65	4272	3571	600	101	0	67	95.58	3464
BackhedF_2015__SID229_4M__bin.5	3967	3452	443	72	0	64	3998	3475	451	72	0	66	93.41	3385
BackhedF_2015__SID240_4M__bin.8	3405	2945	353	107	0	65	3445	2966	370	109	0	66	79.3	2874
BackhedF_2015__SID229_B__bin.5	4258	3547	583	128	0	65	4301	3571	602	128	0	67	95.89	3475
BackhedF_2015__SID229_M__bin.64	4048	3209	590	249	0	63	4137	3281	607	249	0	65	86.75	3144
BackhedF_2015__SID238_M__bin.25	4233	3662	430	141	0	65	4294	3702	451	141	0	67	98.4	3566
BackhedF_2015__SID244_4M__bin.10	3706	2903	596	207	0	61	3819	2999	612	208	0	64	78.48	2844
BackhedF_2015__SID240_B__bin.1	4435	3660	577	198	0	65	4516	3692	621	203	0	67	98.37	3565
BackhedF_2015__SID244_M__bin.1	2133	1622	330	181	0	40	2222	1700	341	181	0	43	43.79	1587
BackhedF_2015__SID244_B__bin.7	3456	2912	475	69	0	65	3491	2930	491	70	0	66	78.67	2851
BackhedF_2015__SID256_B__bin.2	2276	1861	346	69	0	65	2301	1876	355	70	0	66	50.52	1831
BackhedF_2015__SID256_12M__bin.25	3667	2806	533	328	0	59	3757	2885	541	331	0	60	75.86	2749
BackhedF_2015__SID258_B__bin.2	2272	1927	298	47	0	64	2287	1936	303	48	0	65	52.1	1888
BackhedF_2015__SID258_M__bin.31	2886	2254	353	279	0	54	2975	2334	361	280	0	58	60.49	2192
BackhedF_2015__SID256_4M__bin.4	4196	3479	550	167	0	65	4244	3513	564	167	0	67	94.12	3411
BackhedF_2015__SID258_4M__bin.4	4182	3408	613	161	0	65	4224	3428	633	163	0	66	91.5	3316
BackhedF_2015__SID263_4M__bin.2	4144	3354	595	195	0	65	4229	3414	618	197	0	66	90.09	3265
BackhedF_2015__SID268_M__bin.71	1351	1231	67	53	0	60	1356	1235	68	53	0	61	33.44	1212
BackhedF_2015__SID263_M__bin.15	3266	2664	435	167	0	64	3353	2733	453	167	0	66	71.66	2597
BackhedF_2015__SID263_B__bin.12	4247	3470	615	162	0	65	4334	3517	654	163	0	67	93.29	3381
BackhedF_2015__SID265_12M__bin.1	3472	2902	313	257	0	61	3555	2975	321	259	0	63	78.17	2833
BackhedF_2015__SID26_4M__bin.4	4246	3545	593	108	0	65	4276	3565	603	108	0	67	95.83	3473
BackhedF_2015__SID265_4M__bin.6	4302	3534	608	160	0	65	4366	3558	646	162	0	67	95.56	3463
BackhedF_2015__SID268_4M__bin.5	4265	3606	568	91	0	65	4307	3631	585	91	0	67	96.8	3508
BackhedF_2015__SID272_B__bin.3	3184	2776	327	81	0	65	3208	2793	334	81	0	66	74.75	2709
BackhedF_2015__SID268_B__bin.7	4169	3545	513	111	0	65	4221	3582	528	111	0	67	95.14	3448
BackhedF_2015__SID26_M__bin.17	4147	3422	541	184	0	65	4237	3492	558	187	0	68	91.92	3331
BackhedF_2015__SID272_4M__bin.11	4008	3314	488	206	0	65	4091	3375	508	208	0	66	89.07	3228
BackhedF_2015__SID274_4M__bin.3	4446	3574	684	188	0	65	4492	3604	700	188	0	68	96.05	3481
BackhedF_2015__SID282_12M__bin.8	2037	1594	246	197	0	47	2101	1651	251	199	0	49	43.07	1561
BackhedF_2015__SID282_B__bin.8	2155	1945	129	81	0	65	2170	1955	134	81	0	66	52.51	1903
BackhedF_2015__SID276_4M__bin.3	3384	2737	527	120	0	64	3424	2748	554	122	0	64	73.76	2673
BackhedF_2015__SID281_4M__bin.18	3864	3386	321	157	0	64	3945	3456	329	160	0	67	90.92	3295
BackhedF_2015__SID281_B__bin.11	3126	2670	238	218	0	64	3174	2705	247	222	0	66	71.39	2587
BackhedF_2015__SID275_4M__bin.2	4230	3560	571	99	0	64	4259	3580	580	99	0	66	95.67	3467
BackhedF_2015__SID274_B__bin.1	4384	3609	601	174	0	65	4421	3628	618	175	0	67	96.99	3515
BackhedF_2015__SID326_12M__bin.29	3237	2651	485	101	0	65	3266	2667	497	102	0	66	71.91	2606
BackhedF_2015__SID282_M__bin.61	4487	3643	478	366	0	65	4575	3676	527	372	0	67	97.88	3547
BackhedF_2015__SID326_4M__bin.5	4246	3485	602	159	0	65	4299	3512	627	160	0	67	94.26	3416
BackhedF_2015__SID335_12M__bin.12	4060	3254	553	253	0	65	4131	3314	562	255	0	68	88.02	3190
BackhedF_2015__SID326_M__bin.8	4402	3527	688	187	0	65	4458	3556	714	188	0	67	95.36	3456
BackhedF_2015__SID338_4M__bin.1	4085	3425	545	115	0	65	4123	3449	558	116	0	67	92.63	3357
BackhedF_2015__SID335_B__bin.9	4689	3556	797	336	0	65	4767	3583	848	336	0	67	96.14	3484
BackhedF_2015__SID343_12M__bin.2	2407	1817	357	233	0	51	2488	1889	363	236	0	54	49.12	1780
BackhedF_2015__SID345_B__bin.3	2862	2367	382	113	0	63	2875	2373	389	113	0	63	63.8	2312
BackhedF_2015__SID377_12M__bin.2	2224	1840	194	190	0	57	2292	1906	196	190	0	61	49.72	1802
BackhedF_2015__SID338_B__bin.2	4504	3540	757	207	0	65	4577	3562	805	210	0	67	95.72	3469
BackhedF_2015__SID341_4M__bin.7	4367	3522	617	228	0	65	4430	3552	646	232	0	67	95.31	3454
BackhedF_2015__SID350_4M__bin.5	3605	2872	590	143	0	65	3644	2888	611	145	0	66	77.65	2814
BackhedF_2015__SID341_B__bin.15	4323	3489	591	243	0	65	4371	3518	606	247	0	67	94.4	3421
BackhedF_2015__SID367_B__bin.8	3436	2888	445	103	0	65	3467	2904	460	103	0	67	77.43	2806
BackhedF_2015__SID367_4M__bin.17	4081	3469	481	131	0	64	4143	3519	493	131	0	67	93.18	3377
BackhedF_2015__SID377_4M__bin.4	4007	3605	308	94	0	65	4054	3636	324	94	0	67	96.85	3510
BackhedF_2015__SID377_M__bin.63	3982	3347	473	162	0	65	4049	3404	482	163	0	67	90.59	3283
BackhedF_2015__SID38_12M__bin.3	3899	3173	514	212	0	65	3969	3228	527	214	0	66	85.04	3082
BackhedF_2015__SID383_4M__bin.10	4040	3357	540	143	0	65	4080	3380	556	144	0	67	90.73	3288
BackhedF_2015__SID38_4M__bin.4	4125	3455	450	220	0	65	4153	3475	457	221	0	67	92.72	3360
BackhedF_2015__SID385_4M__bin.2	4107	3571	427	109	0	65	4158	3619	430	109	0	67	95.89	3475
BackhedF_2015__SID387_B__bin.6	4266	3423	639	204	0	65	4362	3468	687	207	0	67	92.05	3336
BackhedF_2015__SID38_M__bin.28	4417	3441	674	302	0	65	4489	3499	687	303	0	67	92.49	3352
BackhedF_2015__SID42_12M__bin.29	3588	2767	556	265	0	58	3686	2855	566	265	0	61	74.81	2711
BackhedF_2015__SID39_4M__bin.21	4430	3648	537	245	0	65	4481	3676	557	248	0	67	97.9	3548
BackhedF_2015__SID397_4M__bin.1	4211	3642	385	184	0	65	4279	3669	421	189	0	67	97.85	3546
BackhedF_2015__SID42_4M__bin.13	3309	2543	571	195	0	64	3368	2563	609	196	0	66	68.6	2486
BackhedF_2015__SID39_B__bin.10	4348	3628	486	234	0	65	4389	3652	500	237	0	67	97.41	3530
BackhedF_2015__SID39_M__bin.65	4393	3589	551	253	0	65	4449	3622	570	257	0	68	96.36	3492
BackhedF_2015__SID45_12M__bin.23	4183	3367	618	198	0	65	4236	3394	638	204	0	67	90.92	3295
BackhedF_2015__SID42_B__bin.2	4319	3677	476	166	0	65	4386	3703	515	168	0	67	98.79	3580
BackhedF_2015__SID45_4M__bin.10	3797	3300	339	158	0	65	3829	3325	346	158	0	67	88.66	3213
BackhedF_2015__SID507_12M__bin.10	2538	2127	287	124	0	56	2563	2146	293	124	0	56	57.42	2081
BackhedF_2015__SID503_4M__bin.23	4045	3541	415	89	0	65	4106	3559	454	93	0	67	95.09	3446
BackhedF_2015__SID507_4M__bin.12	2457	1999	381	77	0	65	2472	2008	387	77	0	66	54.22	1965
BackhedF_2015__SID504_12M__bin.17	4362	3553	550	259	0	65	4439	3601	573	265	0	67	95.39	3457
BackhedF_2015__SID504_M__bin.25	4313	3646	505	162	0	65	4359	3671	523	165	0	67	97.9	3548
BackhedF_2015__SID507_B__bin.7	3202	2615	418	169	0	64	3236	2634	433	169	0	64	70.5	2555
BackhedF_2015__SID511_12M__bin.1	3244	2573	424	247	0	58	3354	2666	435	253	0	61	69.65	2524
BackhedF_2015__SID504_4M__bin.7	4632	3592	659	381	0	65	4716	3622	705	389	0	67	96.52	3498
BackhedF_2015__SID51_B__bin.3	2351	1914	345	92	0	64	2361	1922	347	92	0	65	52.15	1890
BackhedF_2015__SID521_12M__bin.17	3028	2490	413	125	0	65	3061	2508	427	126	0	66	67.55	2448
BackhedF_2015__SID51_4M__bin.13	4411	3487	648	276	0	65	4478	3539	663	276	0	67	94.37	3420
BackhedF_2015__SID521_4M__bin.10	4110	3242	599	269	0	65	4207	3319	616	272	0	69	87.61	3175
BackhedF_2015__SID521_B__bin.1	4270	3543	578	149	0	65	4323	3570	601	152	0	67	95.81	3472
BackhedF_2015__SID521_M__bin.58	3988	3548	386	54	0	65	4027	3575	398	54	0	67	95.31	3454
BackhedF_2015__SID527_M__bin.17	3283	2608	442	233	0	58	3363	2681	448	234	0	59	70.2	2544
BackhedF_2015__SID526_12M__bin.36	4386	3484	707	195	0	65	4460	3519	745	196	0	67	94.23	3415
BackhedF_2015__SID526_M__bin.28	4264	3560	622	82	0	65	4311	3588	641	82	0	67	95.7	3468
BackhedF_2015__SID527_4M__bin.2	4271	3487	604	180	0	65	4340	3526	633	181	0	67	93.76	3398
BackhedF_2015__SID527_B__bin.1	4521	3521	692	308	0	65	4614	3563	739	312	0	67	94.67	3431
BackhedF_2015__SID536_4M__bin.18	2612	2264	299	49	0	63	2627	2275	303	49	0	63	61.04	2212
BackhedF_2015__SID53_12M__bin.24	4113	3175	702	236	0	65	4170	3198	732	240	0	65	85.82	3110
BackhedF_2015__SID546_12M__bin.14	2727	1997	390	340	0	51	2836	2091	401	344	0	56	53.73	1947
BackhedF_2015__SID532_M__bin.27	4317	3620	478	219	0	65	4355	3645	491	219	0	67	97.21	3523
BackhedF_2015__SID53_4M__bin.19	4363	3512	671	180	0	65	4417	3537	700	180	0	67	94.4	3421
BackhedF_2015__SID544_M__bin.53	3853	3291	390	172	0	65	3906	3333	401	172	0	67	88.47	3206
BackhedF_2015__SID546_4M__bin.2	4317	3591	591	135	0	65	4349	3613	599	137	0	67	96.52	3498
BackhedF_2015__SID549_4M__bin.7	4158	3491	538	129	0	65	4180	3505	546	129	0	67	94.43	3422
BackhedF_2015__SID53_M__bin.18	4343	3542	634	167	0	64	4404	3590	647	167	0	67	95.23	3451
BackhedF_2015__SID560_4M__bin.6	4117	3478	536	103	0	65	4155	3507	545	103	0	67	94.04	3408
BackhedF_2015__SID546_B__bin.2	4444	3603	696	145	0	65	4481	3623	711	147	0	67	96.83	3509
BackhedF_2015__SID546_M__bin.9	4436	3514	665	257	0	64	4491	3548	685	258	0	66	94.95	3441
BackhedF_2015__SID549_B__bin.1	4110	3439	528	143	0	65	4131	3454	534	143	0	67	92.99	3370
BackhedF_2015__SID565_12M__bin.20	3062	2319	446	297	0	58	3169	2410	458	301	0	61	62.69	2272
BackhedF_2015__SID567_M__bin.25	4173	3453	572	148	0	64	4249	3519	582	148	0	66	93.32	3382
BackhedF_2015__SID565_B__bin.3	4457	3596	693	168	0	65	4511	3620	721	170	0	67	96.63	3502
BackhedF_2015__SID566_4M__bin.4	4415	3538	673	204	0	65	4459	3560	693	206	0	67	95.61	3465
BackhedF_2015__SID567_12M__bin.6	3835	3281	392	162	0	64	3912	3350	398	164	0	67	88.22	3197
BackhedF_2015__SID566_M__bin.22	4343	3489	645	209	0	65	4384	3511	662	211	0	67	94.26	3416
BackhedF_2015__SID570_4M__bin.8	3842	2937	517	388	0	56	3963	3039	533	391	0	58	78.81	2856
BackhedF_2015__SID567_4M__bin.12	4290	3569	547	174	0	65	4331	3587	569	175	0	67	95.83	3473
BackhedF_2015__SID572_M__bin.34	4324	3510	683	131	0	65	4393	3544	718	131	0	67	94.84	3437
BackhedF_2015__SID577_4M__bin.1	4155	3575	418	162	0	64	4226	3628	435	163	0	67	96.0	3479
BackhedF_2015__SID577_12M__bin.30	4260	3528	606	126	0	65	4319	3568	623	128	0	67	94.9	3439
BackhedF_2015__SID572_4M__bin.15	4533	3538	740	255	0	65	4596	3561	779	256	0	67	95.67	3467
BackhedF_2015__SID577_M__bin.27	3984	3430	353	201	0	65	4027	3462	363	202	0	67	92.16	3340
BackhedF_2015__SID585_M__bin.27	4319	3523	627	169	0	64	4360	3550	640	170	0	66	95.25	3452
BackhedF_2015__SID589_M__bin.27	4435	3513	635	287	0	65	4486	3534	662	290	0	67	95.06	3445
BackhedF_2015__SID587_12M__bin.20	3905	3185	459	261	0	65	3960	3234	465	261	0	67	85.6	3102
BackhedF_2015__SID591_4M__bin.8	3839	3242	425	172	0	62	3948	3347	429	172	0	67	86.95	3151
BackhedF_2015__SID598_4M__bin.18	3874	3405	339	130	0	65	3936	3458	347	131	0	67	91.69	3323
BackhedF_2015__SID598_M__bin.11	4055	3593	332	130	0	64	4092	3619	343	130	0	67	96.66	3503
BackhedF_2015__SID599_12M__bin.7	4255	3635	469	151	0	65	4305	3662	491	152	0	67	97.65	3539
BackhedF_2015__SID608_12M__bin.7	4300	3575	349	376	0	65	4385	3638	365	382	0	68	96.11	3483
BackhedF_2015__SID591_M__bin.34	4643	3513	685	445	0	65	4678	3531	696	451	0	67	95.06	3445
BackhedF_2015__SID615_4M__bin.8	4290	3527	564	199	0	65	4332	3547	585	200	0	67	95.36	3456
BackhedF_2015__SID622_4M__bin.7	4283	3560	582	141	0	64	4318	3585	592	141	0	66	95.72	3469
BackhedF_2015__SID622_M__bin.3	3988	3490	422	76	0	65	4017	3505	436	76	0	67	93.85	3401
BackhedF_2015__SID622_B__bin.3	4109	3352	531	226	0	65	4147	3380	540	227	0	67	90.04	3263
BackhedF_2015__SID624_4M__bin.7	2790	2435	301	54	0	64	2815	2444	316	55	0	64	65.45	2372
BackhedF_2015__SID626_B__bin.3	2633	2065	371	197	0	16	2672	2081	392	199	0	16	55.19	2000
BackhedF_2015__SID624_B__bin.4	4025	3655	277	93	0	65	4053	3672	286	95	0	67	98.26	3561
BackhedF_2015__SID626_4M__bin.12	4310	3604	490	216	0	65	4361	3631	513	217	0	67	96.74	3506
BackhedF_2015__SID633_12M__bin.23	4050	3499	427	124	0	64	4111	3548	439	124	0	67	93.96	3405
BackhedF_2015__SID635_M__bin.23	3513	2584	557	372	0	57	3612	2665	572	375	0	58	69.67	2525
BackhedF_2015__SID633_4M__bin.7	4006	3457	369	180	0	65	4073	3490	398	185	0	67	93.02	3371
BackhedF_2015__SID635_4M__bin.14	4123	3413	463	247	0	65	4245	3514	483	248	0	67	92.22	3342
BackhedF_2015__SID7_12M__bin.1	3741	3091	481	169	0	63	3822	3157	495	170	0	66	83.55	3028
BackhedF_2015__SID637_4M__bin.4	4229	3661	446	122	0	65	4276	3688	464	124	0	67	98.32	3563
BackhedF_2015__SID70_12M__bin.23	4041	3418	415	208	0	65	4144	3501	434	209	0	67	91.8	3327
BackhedF_2015__SID78_B__bin.4	2980	2461	369	150	0	62	3004	2477	375	152	0	62	66.2	2399
BackhedF_2015__SID7_4M__bin.3	4347	3525	655	167	0	65	4420	3561	692	167	0	67	94.78	3435
BackhedF_2015__SID78_M__bin.30	3946	3148	542	256	0	65	3994	3177	560	257	0	67	85.04	3082
BackhedF_2015__SID78_4M__bin.7	4242	3537	553	152	0	65	4299	3561	584	154	0	67	95.58	3464
BackhedF_2015__SID7_B__bin.5	4193	3450	599	144	0	65	4247	3480	623	144	0	67	92.77	3362
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.150	2840	2393	272	175	0	51	2886	2433	278	175	0	53	64.43	2335
BackhedF_2015__SID9_12M__bin.5	3340	2741	483	116	0	65	3362	2754	492	116	0	65	73.48	2663
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.93	2335	2223	103	9	0	65	2347	2233	105	9	0	66	60.02	2175
BackhedF_2015__SID7_M__bin.1	4229	3466	610	153	0	65	4300	3512	633	155	0	67	93.29	3381
BackhedF_2015__SID87_4M__bin.5	4202	3527	504	171	0	65	4263	3572	520	171	0	67	94.87	3438
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.121	3691	3054	434	203	0	62	3746	3101	441	204	0	63	82.51	2990
BackhedF_2015__SID87_M__bin.15	4411	3600	606	205	0	65	4475	3647	623	205	0	67	96.8	3508
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.14	3931	3359	348	224	0	65	3968	3388	355	225	0	67	90.26	3271
Bengtsson-PalmeJ_2015__TRAVELRES30__bin.112	3685	3399	230	56	0	65	3730	3438	235	57	0	67	91.47	3315
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.94	3768	3389	281	98	0	65	3791	3407	285	99	0	67	91.11	3302
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.63	2463	2266	173	24	0	65	2473	2274	175	24	0	66	60.87	2206
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.29	3945	3250	459	236	0	63	3978	3276	465	237	0	64	87.56	3173
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.24	3404	2865	328	211	0	58	3430	2887	332	211	0	60	76.85	2785
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.91	4250	3594	477	179	0	65	4305	3624	492	189	0	67	96.52	3498
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.79	3167	2670	433	64	0	65	3180	2676	439	65	0	65	72.13	2614
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.89	3156	2521	388	247	0	63	3192	2534	409	249	0	63	67.49	2446
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.79	3543	3043	330	170	0	63	3582	3072	340	170	0	64	81.84	2966
Bengtsson-PalmeJ_2015__TRAVELRES54__bin.47	3761	3394	259	108	0	65	3828	3459	261	108	0	67	91.36	3311
BritoIL_2016__M1.15.ST__bin.9	3457	2956	331	170	0	63	3498	2988	340	170	0	65	80.02	2900
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.95	4111	3456	440	215	0	65	4188	3520	451	217	0	68	92.8	3363
BritoIL_2016__M1.52.ST__bin.57	3190	2846	209	135	0	62	3223	2877	211	135	0	63	76.6	2776
BritoIL_2016__M1.16.ST__bin.78	4186	3527	474	185	0	65	4212	3541	482	189	0	67	95.36	3456
BritoIL_2016__M1.38.ST__bin.77	4010	3327	456	227	0	62	4051	3360	464	227	0	64	89.38	3239
BritoIL_2016__M1.48.ST__bin.57	3998	3505	325	168	0	65	4028	3529	330	169	0	67	94.26	3416
BritoIL_2016__M1.61.ST__bin.100	3652	3279	311	62	0	65	3667	3292	313	62	0	67	88.08	3192
BritoIL_2016__M1.63.ST__bin.9	3702	3120	441	141	0	63	3741	3157	443	141	0	64	83.83	3038
BritoIL_2016__M2.40.ST__bin.8	2872	2479	270	123	0	64	2905	2500	280	125	0	64	66.28	2402
BritoIL_2016__M2.37.ST__bin.88	3804	3268	361	175	0	62	3851	3311	365	175	0	63	87.86	3184
BritoIL_2016__M1.6.ST__bin.38	4226	3514	578	134	0	64	4262	3535	593	134	0	66	95.03	3444
BritoIL_2016__M2.38.ST__bin.24	4287	3532	463	292	0	65	4322	3549	475	298	0	67	94.92	3440
BritoIL_2016__W1.13.ST__bin.51	3659	3270	301	88	0	63	3691	3296	307	88	0	65	87.83	3183
BritoIL_2016__W1.22.ST__bin.99	3495	3010	238	247	0	64	3554	3064	240	250	0	66	81.02	2936
BritoIL_2016__M2.49.ST__bin.46	4031	3478	376	177	0	65	4076	3516	382	178	0	68	93.43	3386
BritoIL_2016__W1.51.ST__bin.61	1903	1749	133	21	0	65	1912	1756	135	21	0	66	47.13	1708
BritoIL_2016__W1.3.ST__bin.29	4153	3651	413	89	0	65	4182	3669	424	89	0	67	98.12	3556
BritoIL_2016__W1.42.ST__bin.44	3741	3375	275	91	0	62	3771	3404	276	91	0	64	90.59	3283
BritoIL_2016__W2.23.ST__bin.56	3077	2751	156	170	0	63	3088	2762	156	170	0	65	74.14	2687
BritoIL_2016__W2.19.ST__bin.62	3868	3502	204	162	0	65	3914	3537	214	163	0	66	94.09	3410
BritoIL_2016__W1.4.ST__bin.16	4040	3412	352	276	0	65	4126	3490	358	278	0	67	91.8	3327
BritoIL_2016__W2.35.ST__bin.49	3256	2688	340	228	0	52	3279	2707	344	228	0	54	72.32	2621
BritoIL_2016__W2.34.ST__bin.29	3161	2832	192	137	0	62	3200	2867	196	137	0	64	76.16	2760
BritoIL_2016__W2.39.ST__bin.6	3774	3399	263	112	0	65	3816	3437	267	112	0	67	91.36	3311
BritoIL_2016__W2.36.ST__bin.46	4166	3304	303	559	0	61	4232	3358	313	561	0	63	88.74	3216
BritoIL_2016__W2.42.ST__bin.8	4165	3563	382	220	0	65	4218	3594	401	223	0	67	95.75	3470
BritoIL_2016__W2.45.ST__bin.21	3827	3473	258	96	0	65	3847	3488	263	96	0	67	93.32	3382
BritoIL_2016__W2.43.ST__bin.71	4131	3409	475	247	0	65	4170	3430	489	251	0	67	91.72	3324
BritoIL_2016__W2.47.ST__bin.49	3698	3408	254	36	0	65	3724	3433	255	36	0	67	91.53	3317
BritoIL_2016__W2.54.ST__bin.29	3775	3408	301	66	0	65	3803	3430	306	67	0	67	91.56	3318
BritoIL_2016__W2.63.ST__bin.61	2875	2777	85	13	0	65	2891	2789	89	13	0	66	74.92	2715
BritoIL_2016__W2.5.ST__bin.70	3756	3462	254	40	0	65	3781	3483	258	40	0	67	93.18	3377
BritoIL_2016__W2.62.ST__bin.64	3620	3414	177	29	0	65	3633	3424	180	29	0	67	91.75	3325
BritoIL_2016__W2.7.ST__bin.77	3681	3457	197	27	0	65	3701	3476	198	27	0	67	92.99	3370
BritoIL_2016__W3.22.ST__bin.116	2317	2098	155	64	0	65	2331	2109	157	65	0	66	56.73	2056
BritoIL_2016__W2.67.ST__bin.11	3724	3481	210	33	0	65	3737	3493	211	33	0	67	93.71	3396
BritoIL_2016__W2.9.ST__bin.14	4127	3526	422	179	0	65	4166	3551	435	180	0	68	94.87	3438
